,carbs per g,calories per g,protein per gram,fat per g,name
164,0.0347,0.16,0.0079,0.0025,"TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC,NO SALT ADDED"
165,0.0639,2.28,0,0.1382,"SHARK,MXD SP,CKD,BATTER-DIPPED&FRIED"
166,0.049,1.02,0,0.027,"WORTHINGTON LOFAT FRI CHIK,CND,UNPREP"
167,0,2.01,0.1891,0.1338,"LAMB,DOM,FORESHANK,LN&FAT,1/4\FAT,CHOIC,RAW"""
168,0.67,4.26,0,0.163,"KASHI,TLC,OATMEAL DK CHOC COOKIES"
169,0,1.56,0.3094,0.0264,"GAME MEAT,ELK,RND,LN,CKD,BRLD"
170,0.2203,1.29,0,0.032,"RICE & VERMICELLI MIX,BF FLAVOR,PREP W/ 80% MARGARINE"
171,0.2279,0.95,0,0.0128,"NANCE,CND,SYRUP,DRND"
172,0.1312,0.5,0.0054,0.0012,"PINEAPPLE,RAW,ALL VAR"
173,0,0,0,0,"BEVERAGES,POWERADE ZERO ION4,CALORIE-FREE,ASSORTED FLAVORS"
174,0,1.39,0.2194,0.0574,"BEEF,LOIN,TENDERLOIN STEAK,BNLESS,LN,0\ FAT,ALL GRDS,RAW"""
175,0,1.59,0.2608,0.0524,"BEEF,CHUCK,MOCK TENDER STK,LN & FAT,0\ FAT,USDA SEL,CKD,BRLD"""
176,0.0025,2.21,0.1652,0.1661,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,RAW"
177,0.25,6.07,0,0.5,"NUTS,MXD NUTS,OIL RSTD,WO/ PNUTS,LIGHTLY SALTED"
178,0.1556,0.6,0.0051,0.0011,"PINEAPPLE,CND,JUC PK,DRND"
179,0.8773,3.87,0.0159,0.0331,"CANDIES, CARAMELS, CHOCOLATE-FLAVOR ROLL"
180,0.127,0.51,0.003,0.001,"ORANGE&APRICOT JUC DRK,CND"
181,0,1.82,0.2544,0.0813,"SALMON,ATLANTIC,WILD,CKD,DRY HEAT"
182,0.1392,0.54,0.0027,2e-04,"PEACH NECTAR,CND,W/ VIT C"
183,0.0163,3.26,0.141,0.2872,"POLISH SAUSAGE,PORK"
184,0,1.43,0.2128,0.0647,"BEEF,CHUCK EYE STEAK,BNLESS,LN,0\ FAT,SEL,RAW"""
185,0.8613,3.66,0.064,0.0027,"CAKE MIX,ANGELFOOD,DRY"
186,0.9809,3.8,0.0012,0,"SUGARS,BROWN"
187,0.684,4.12,0.12,0.095,"BREAD STICKS,PLAIN"
188,0.2711,1.24,0,0.0068,"PEAS,MATURE SEEDS,SPROUTED,RAW"
189,0.73,4.04,0,0.135,"CRISPED RICE BAR,CHOC CHIP"
190,0.5364,3.53,0.05,0.1396,"CAKE,POUND,COMMLY PREP,BUTTER (INCLUDES FRSH & FROZEN)"
191,0.1772,0.82,0.0206,0.0062,"POTATOES,HASH BROWN,FRZ,PLN,UNPREP"
192,0,2.53,0.2753,0.15,"BEEF,RIB,LRG END (RIBS 6-9),LN,0\FAT,CHOIC,CKD,RSTD"""
193,0,1.16,0.206,0.0369,"TURKEY,RTL PARTS,THIGH,MEAT ONLY,RAW"
194,0,2.78,0.1748,0.2255,"BEEF,CARCASS,LN&FAT,SEL,RAW"
195,0,8.76,0.0028,0.9948,"BUTTER OIL,ANHYDROUS"
196,0,1.99,0.197,0.134,"BEEF,LOIN,TOP SIRLOIN CAP STK,BNLS,LN & FAT,1/8\ FAT,CHC,RAW"""
197,0.686,5.3,0,0.273,"KEEBLER,FUDGE SHOPPE,JUMBO FUDGE STKS,VANILLA"
